sku,product-id,product-id-type,price,minimum-seller-allowed-price,maximum-seller-allowed-price,item-condition,quantity,add-delete,will-ship-internationally,expedited-shipping,standard-plus,item-note,fulfillment-channel,product-tax-code,leadtime-to-ship,merchant-shipping-group
MUZ-YG18-BRC-105,,,4500.0,4050.0,6750.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-106,,,1250.0,1125.0,1875.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-107,,,2000.0,1800.0,3000.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-108,,,2500.0,2250.0,3750.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-109,,,4250.0,3825.0,6375.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-110,,,4750.0,4275.0,7125.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-111,,,4000.0,3600.0,6000.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-112,,,1750.0,1575.0,2625.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-113,,,2875.0,2587.5,4312.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-114,,,2000.0,1800.0,3000.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
